종목명,Y_Change,Y_TA
KSS해운,-19.9203187250996,1006392182.388664
KH 필룩스,-55.21739130434783,5042334436.842105
HDC아이콘트롤스,-40.416666666666664,393147586.6396761
부국증권,-14.313725490196077,79215144.3319838
KISCO홀딩스,-34.883720930232556,537063181.9838057
서연이화,-10.021786492374728,2424992978.4615383
신세계푸드,-43.44344344344344,984613089.4736842
경농,-33.23353293413174,2494933936.8421054
태림포장,-35.95854922279793,2438588796.3765182
삼성제약,-62.09862385321101,4078087158.502024
백산,-4.7418335089567965,5734356702.874494
예스코홀딩스,-8.485639686684072,92250044.3319838
흥국화재,-29.171151776103336,301569466.2145749
LS네트웍스,-51.539855072463766,2948306191.963563
금강공업,-16.113744075829384,1717808303.1983805
신송홀딩스,193.45794392523365,14131223957.91498
세방,-28.95622895622896,893581338.7044535
고려산업,69.64285714285714,19739814453.097164
JW생명과학,-34.43877551020408,574529715.1821862
해태제과식품,-31.900000000000002,688747625.6275303
백광산업,-31.906906906906908,5792591730.870445
한농화성,-10.48951048951049,12082539575.101215
동성제약,-27.02439024390244,935469021.1740891
샘표,10.843373493975903,7786076231.578947
넥센,-32.806691449814124,212571840.08097166
무학,-25.7360959651036,3503952614.2510123
현대비앤지스틸,-39.04761904761905,3283878365.182186
한국주철관,-18.55566700100301,1344424497.368421
팜스코,-28.670360110803323,3978561200.48583
삼화페인트,-45.140562248995984,770733605.3846154
디아이,-24.268292682926827,3263581054.534413
일성건설,31.42329020332717,27594008670.74899
디와이,15.960912052117262,12352781208.05668
이엔플러스,-26.651735722284435,7889822409.089068
대원강업,-32.55269320843091,1023659267.5506073
수산중공업,-23.765786452353616,8509929824.534413
휴스틸,52.961672473867594,3057920935.222672
그린케미칼,-39.416666666666664,4073894979.02834
대영포장,-37.09369024856596,17680637452.874493
효성ITX,-33.78076062639821,711694982.5910931
서연,-60.05376344086022,9034892960.0
신라교역,-22.82608695652174,230813785.22267208
노루페인트,-34.71264367816092,5251055754.089068
디아이씨,-33.253205128205124,3654882043.6234818
동아타이어,-8.076923076923077,280295151.01214576
신일전자,13.902439024390246,10923383284.453442
영풍제지,1.6042780748663104,6157239037.044535
제주은행,-30.23255813953488,1693394526.2955465
조선선재,-3.861003861003861,1451247665.5870445
DB,-24.265402843601898,1931197681.340081
아시아나IDT,-43.992248062015506,1465095297.165992
대창단조,22.125813449023862,2842465616.8825912
쎌마테라퓨틱스,0.0,0.0
삼양통상,-34.394904458598724,257180264.77732792
신흥,3.1545741324921135,188079786.03238866
한라,-29.448398576512457,2514660438.866397
세종공업,-39.45054945054945,4433806809.898786
유수홀딩스,-18.636995827538247,297482302.1052632
한신공영,-52.9980657640232,1189083579.3522267
한국석유,-24.53416149068323,26608387941.093117
현대약품,-33.33333333333333,2111205711.9433198
에이블씨엔씨,-45.14851485148515,508650929.8785425
노루홀딩스,-25.874125874125873,425301831.98380566
성창기업지주,-26.497277676950997,1269331940.910931
미창석유,-5.269320843091335,211099779.75708503
디와이파워,-27.246376811594203,2792626757.6923075
강남제비스코,-29.47019867549669,609438024.4939271
광명전기,-6.432748538011696,12196898067.00405
SNT에너지,-23.427331887201735,1604296037.854251
한국내화,-32.638164754953074,692828330.0202429
광전자,-11.854684512428298,1899084252.9352226
